4,"耐用度：等了23天刚收到，键盘重量可以！
舒适度：舒适度没话说，键盘按起来非常舒服！
操作难度：比常规大键盘要小，需要适应几天！
外观颜值：颜值没话说，奔着颜值买的，三模给力
响应速度：速度我打字做设计够用，不打游戏没测试！
新配的电脑键盘总不能太差，选了好久最终预售时候选了这款，等了20多天终于到了，没让我失望！估计在盘他几天能更顺滑！打起字非常舒服，按上去柔柔的感觉！希望客服这一款能及时回复，企业能保持良心输出蒸蒸日上！",预售V98Pro Box冰淇淋轴Pro 黑加仑
5,"挺好用的
舒适度：满分，触感很好。

操作难度：说明书很详细
外观颜值：很好看
耐用度：寿命应该也可以
响应速度：1000回报率，2.4g也没有延迟。
性价比方面真的无敌，轴也很好。",预售V98Pro Box冰淇淋轴Pro 海盐
6,"等了半个月，很符合预期，好用就完事了。
耐用度：8000毫安的电池 续航yyds
舒适度：冰淇淋轴体，声音很小，键程短，反馈快。
外观颜值：海盐冰淇淋很小清新，非常好看，rgb可调模式非常多，而且可以自定义。
响应速度：1000hz报告率，打游戏无线跟有线没区别
操作难度：上手即用，官网下载驱动可进行自定义按键。",预售V98Pro Box冰淇淋轴Pro 海盐
7,键盘手感很不错  但是包装盒真的稀碎希望能有改进一下,预售V98Pro Box冰淇淋轴Pro 海盐
8,"买回来就非常喜欢啊阿啊，就冲性价比去的颜色买的黑加伦的比较喜欢黑粉
耐用度：非常耐用哦，就是打字玩游戏非常舒服很省心，整体情况很软，很nice
舒适度：打字很舒服，玩游戏按的不会疲劳，舒服度是顶级，冰淇淋轴特点
操作难度：操作起来就是容易，按到哪里就会有很快的反馈，比较容易使用
外观颜值：外观非常好看黑加伦的风格。然后有不同的rgb模式非常美丽，外形也很别致
响应速度：响应速度很快啊，轴承短，按下去就会给予反馈，三模速度差不多整体使用情况就是用买了非常喜欢来形容对比了很多键盘",预售V98Pro Box冰淇淋轴Pro 黑加仑
9,"历经20天终于到手，整体给好评吧。键帽有一些毛刺很轻微。
外观颜值：海盐的颜色清新雅致。
舒适度：没用过其他的机械键盘，这个手感轻巧，声音很清脆，所谓的麻将音？
附带的充电线超级粗。",预售V98Pro Box冰淇淋轴Pro 海盐
10,"好用就完事了:很好很好非常好舒适度:键盘润滑很舒服，很好用操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累外观颜值:蓝紫配色，小清新，非常好看。rgb灯光很好看响应速度:反应很快，2.4g与有线反应速度差不多,用起来很顺手",预售V98Pro Box冰淇淋轴Pro 黑加仑
1,真的特别好用，耐用度:很好很好非常好 舒适度:键盘润滑很舒服，很好用 操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累 外观颜值:蓝紫配色，小清新，非常好看。rgb灯光很好看 响应速度:反应很快，2.4g与有线反应速度差不多，用起来很顺手,预售V98Pro Box冰淇淋轴Pro 海盐
2,"到手即用 非常方便
外观颜值：超级好看
操作难度：连接方便
舒适度：符合人体工程学的高度 打字很舒服 
灯光合适不刺眼  冰激淋pro 轴体不要太香 很润滑 大键声音好听 轴体较稳 
非常nice",预售V98Pro Box冰淇淋轴Pro 黑加仑
3,"外观颜值：非常喜欢的一款配色
舒适度：对比我的灯厂键盘，手感舒适到爆
响应速度：丝滑快速响应
操作难度：一级棒，是我喜欢哦?",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
4,"预售VGN98pro   蒸汽波pro轴    黑加仑
打字：特别顺滑好用，耐用度：非常好，舒适度：非常棒
键盘润滑很舒服很好用   键程短反馈快，打字声音很小人体工学设计，颜值非常好看   rgb灯光也很不错  2.4g蓝牙跟有线速度差不多    用起来非常舒适   总体给我的体验感非常棒，相信VGN还会出跟多惊艳的键盘！",预售V98Pro 蒸汽波轴Pro 黑加仑
5,"常满意的键盘体验,打字特别好用，也非常耐用,键盘润滑很舒服，很好用，操作难度,键程短,反馈快,打字声音小，人体工学设计,打字不累,外观颜值,限定配色非常好看, rgb灯光也很不错，相应速度,反应肯快,2.4g、蓝牙反应很快,用起来很顺手,希望国产键盘越来越好！！ 非常好非常好非常好 极力推荐非常好用！",预售V98Pro Box冰淇淋轴Pro 黑加仑
6,按键摁下去，阻尼感恰到好处，手感软弹，手感可以，看起来也很炫酷，按键反应灵活，弹性还挺好的，色彩搭配很理想，质量做工也过关。回弹有力度，每天拿来打字的时间也挺久的，比我之前买的另外一个套装要好使的多，而且很喜欢这个款型。,预售V98Pro Box冰淇淋轴Pro 黑加仑
7,"等了半个多月终于到货了，键盘非常不错，手感丝滑，厂润非常不错，三百出头的三模gasket机械键盘非常香，大键还是蛮扎实的。
舒适度：非常舒服
外观颜值：好看
响应速度：快",预售V98Pro 蒸汽波轴Pro 黑加仑
8,时隔二十天，终于拿到了pro版本，讲道理，这期间有点难熬。在上手试过之后，觉得的确性价比拉满，颜值，分量，手感全部拉满，非常推荐！,预售V98Pro Box冰淇淋轴Pro 黑加仑
9,"我愿称之为2022年98配列卷王中王！！键盘手感非常好，按键干脆声音又不会特别大
耐用度：键盘整体手感挺扎实

舒适度：很好

操作难度：反馈快，打字顺畅

外观颜值：非常好看，很喜欢，送的空格键帽也不错",预售V98Pro 蒸汽波轴Pro 黑加仑
10,"等待23天，2号下午14:51付款，不负等待吧！
先说颜值：好看！这个配色真好看，实物图比渲染图好看多了。
再说做工：边框过度自然，无割手感，键帽从外观看无明显毛边，有一两个键稍微有一点，瑕不掩瑜！分量感很不错，整体刚度还行，扭动稍微有声音，应该是电池粘胶的声音。
最后手感：手感很棒！安静舒服，大键调教很棒！键帽手感很不错，没翻车。
酒香不怕巷子深，功夫活！不错！不错！超值！",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
1,"耐用度：不错
舒适度：拉满了，声音真的很舒服
操作难度：手感很棒，比之前300+的樱桃轴好了很多
外观颜值：好看
响应速度：挺快的，没啥问题",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
2,"声音很小，在办公室完全不会吵到别人
外观颜值：海盐配色直接颜值拉满，太适合女孩子了~整体画风也是很软很奶~

舒适度：手感也超级棒，我只用过红轴和这款，A比红轴要重一些，也不会误触

甚至有点想入黑加仑款了，两个换着用，超级喜欢！！！",预售V98Pro Box冰淇淋轴Pro 海盐
3,这是我的第二把机械键盘，手感和声音都比之前的键盘舒服得多，触发非常快，灯光配色，手感舒适。刚入键盘区的新手还是比较推荐性价比嗷嗷的，别评测看多了，好不好上手试试就知道。耐久度用两年之后回来追评,预售V98Pro Box冰淇淋轴Pro 海盐
4,"舒适度：按键很舒适，手感很好，键帽磨砂质感，摸起来很舒服。大件有的轴也很稳很舒适
外观颜值：外观很好看，蓝白配色，看着也很舒服
响应速度：2.4G无线，没感觉到延迟",预售V98Pro Box冰淇淋轴Pro 海盐
5,"耐用度：很耐用键程短，反债快，打字声音小。人休工学 设计，打宇不累 外观颜值  响应速度；反应很快，24g与有线反应速度差不多
舒适度：键盘润滑很舒服，很好用
操作难度：到手即用
外观颜值：挺好 小清新，韭常好看。rgb灯光 很好看",预售V98Pro Box冰淇淋轴Pro 海盐
6,"整体手感：刚触摸到键盘就有一种厚重感，感觉堆料很足。
手感：打字有种打麻将的感觉。
外观：整体看上去很工整，大小在我眼中刚刚好。
整体：快递到的时候，包裹的很严实，保护做的很好。
软件方面：可有可无，整体做的一般。
细节：空格那一排要稍矮于shift那一排，手感上可能会略感奇怪。",预售V98Pro 蒸汽波轴Pro 黑加仑
7,"外观颜值：特地选了海盐冰淇淋的版本，整体看来非常清新，调色很舒服
舒适度：与mx冰淇淋相比，冰淇淋pro的手感更丝滑了，加强厂润还是有好处的，沙沙声也几乎听不到了
操作难度：本身2.4G直接适配，开箱即用
耐用度：我这把没出现跷跷板的问题，应该是工艺改进了，整体的做工也比较符合预期",预售V98Pro Box冰淇淋轴Pro 海盐
8,"舒适度：很顺滑，很好用。
自己放在公司用，声音大小可以接受。
打字不会感觉累。不使用手托没问题，高度合适。
可以连接三个蓝牙，可以连接手机，电脑。
外观颜值：外观很好看。",预售V98Pro Box冰淇淋轴Pro 海盐
9,虽然快递很折磨，客服也不搭理我，但键盘还不错,预定V98Pro Box冰淇淋轴Pro 海盐
10,"耐用度：不错
舒适度：打字很舒服，声音好听
操作难度：手感很好
外观颜值：黑加仑yyds，超级好看
响应速度：回弹很快",预售V98Pro Box冰淇淋轴Pro 黑加仑
1,"到手即用，耐用度;很好 舒适度;健盘润滑油很多，很好用操作难度;健程炬，反饮快，打字声音小。人体工学设计，打宇不器外观，蓝配色，小清新，非常好看。rgb灯光很好看 响应速度;反应很快，2.4g与有线反应速应
差不多，用起来很顺手",预售V98Pro Box冰淇淋轴Pro 海盐
2,"耐用度：键帽是mda高度pbt材质的 摸着还行偏磨砂感 比ck69那套舒服

买的蒸汽波pro 轴体还行 打字蛮爽  顺滑度也可以 键盘整体很有分量 大键无敌 2.4g无线很爽 内部填充好评",预售V98Pro 蒸汽波轴Pro 黑加仑
3,"键盘手感很好，阻尼感顺滑且一致性强。
pbt键帽很耐油，粗糙度也刚刚好。
键盘声音好听，忍不住想一直打字，一直学习哈哈哈。
2022最具性价比的键盘！",预售V98Pro Box冰淇淋轴Pro 黑加仑
4,"舒适度：到手打开用了一段时间，手感很好
外观颜值：海盐冰激凌颜色很好看，第一次买机械键盘，体验很好
响应速度：按键响应都很快，感觉不出什么延迟
推荐！！",预售V98Pro Box冰淇淋轴Pro 海盐
5,"总的来说挺不错的，很符合预期效果。
打字：特别好用。
耐用度：非常好。
舒适度：键盘润滑很舒服。
操作难度：键程短，反馈快，打字声音小。
人体工学设计，打字不累外观颜值：海盐蓝紫配色，非常好看。 RGB 灯光很好看响应速度：反应很快，2.4G与有线反应速度差不多，用起来很顺手。",预售V98Pro Box冰淇淋轴Pro 海盐
6,"终于到手了，这个配色是真的好看，按键声音小 不会影响到别人了，打字很舒服
操作难度：没有难度，即刻上手
外观颜值：黑绿配色，太好看了
舒适度：打字什么的手感不错",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
7,"舒适度：MDA键帽很舒服，非常不错
操作难度：简单好上手，不需要调整啥的
外观颜值：非常好看，紫色非常吸引眼球
响应速度：2.4g很快，还可以蓝牙或者有线，刷新率也很高
整体是一把非常不错的键盘，不光是蒸汽波轴pro声音非常脆，触发也很快，整体的颜值也很高，还带RGB，比较硬的gasket结构，三模连接切换方便，键盘内部的填充也是做得不错，价格也很到位，赠品也有，期待后续，总而言之，有一些小的瑕疵，但是瑕不掩瑜，这个键盘还是非常值得购买的，比较推荐",预售V98Pro 蒸汽波轴Pro 黑加仑
8,"耐用度：模具实在，手感很好。

舒适度：冰激凌轴自带厂润，手感很好，适合玩游戏。
外观颜值：海盐配色很好看，淡色系，额外赠送了大键。

响应速度：3模，电池可以用很久，玩游戏无延迟。",预售V98Pro Box冰淇淋轴Pro 海盐
9,"舒适度：键帽高度非常舒适
操作难度：上手简单
外观颜值：外观很好，看我自己换了几个个性的键帽，感觉整体更好看了
响应速度：2.4G下，一点问题都没有
这个冰淇淋轴按起来声音挺小的，比较适合打字的环境，用来办公的话，还挺不错的，而且这个键盘套件的填充拉满，灯光由于冰淇淋轴的透光还算可以，所以整体上也是可以接受的，首发送的这个航插线也挺不错的，五颜六色的挺好看，而且一摸质量就很好，这个键盘这个价格真的是随便买，感觉无论买什么配置都不会吃亏",预售V98Pro Box冰淇淋轴Pro 海盐
10,外观很漂亮，实际到手比图片还好；用着很舒服，键盘润滑很到位；打字声音不吵，在办公室用刚刚好；响应速度很快，几乎没有延迟；总体是很棒的一把键盘，很满意。,预售V98Pro Box冰淇淋轴Pro 黑加仑
1,"舒适度：按键很舒服，打字打游戏都很轻松，声音很小，挺不错的。
外观颜值：颜值那就更不用说了，很喜欢的外观配色，很小清新。
响应速度：效应速度没什么直观感受，但日常使用打游戏绝对够用啦，放心购入。",预售V98Pro Box冰淇淋轴Pro 海盐
2,包装升级了，带的有气泡棉，不拍摔了。第一个机械键盘，估计可以退烧了，冰淇淋轴很线性。打字：特别好用，耐用度:非常好 舒适度：键盘润滑很舒服，很好用 操作难度：键程短，反馈快，麻将音很hifi。键盘有点高还得适应：海盐蓝紫配色，小清新，非常好看。rgb灯光很好看响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手。很不错的一个键盘，没白等这么久。,预售V98Pro Box冰淇淋轴Pro 海盐
3,非常满意，最早11.1官方直播买的，由于我们这里疫情刚收到货，质量很好，做工精细，外观是我喜欢的。    用着很舒服，属于是性价比无敌了，好看又好用，打字非常舒服，堆料确实足，凯华box冰激凌Pro轴顶级丝滑度，键帽手感也好，没任何杂音，配色也好看，定制的空格键好看，很配。电池大，续航久。总之非常满意。,预售V98Pro Box冰淇淋轴Pro 海盐
4,"等了20多天，现在终于到手了，入手的第一把键盘： 
8000毫安的电池 续航还没有测，但是肯定很好 
冰淇淋轴体，线性声音小，键程短，手感很舒适 
海盐冰淇淋属于小清新，非常好看，rgb可调模式非常多，而且还可以自定义 。",预售V98Pro Box冰淇淋轴Pro 海盐
5,"一 次非常满意的键盘体验快一个月的等待还是值得的。打字：特别好用，
耐用度：非常好 
舒适度：键盘润滑很舒服，
很好用 操作难度;键程短，反馈快，打字声音
小。人体工学设计，打字不累 外观颜值：海
盐蓝紫配色，小清新，非常好看。rgb灯光很
好看 响应速度：反应很快，2.4g与有线反应
速度差不多，用起来很顺手，希望国产键盘越
来越好。",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
6,键盘不错，符合我的预期，插上即用。打字:人体工学设计，打字不累。 耐用度：非常好舒适度：键盘润滑很舒服，很好用操作难度：键程短，反馈快，打字声音小，外观颜值：小清新，很好看，rgb灯光很好看，响应速度：反应很快，用起来很顺手，一个多月的等待还是值得的，一次满意的购物体验，希望国产键盘越来越好。,预售V98Pro 蒸汽波轴Pro 海盐
7,"舒适度：很舒服，手感很顺滑，声音很一致。对于我个人而言按压力度再轻一点就更好了。  声音属于闷闷的那种，不是很大。
操作难度：没什么操作难度，上手即用，有附带说明书
外观颜值：外观个人还是很喜欢的，实物比图片好看。
响应速度：速度挺快，。",预售V98Pro Box冰淇淋轴Pro 黑加仑
8,"总结一下:
1.这把键盘上手体验极佳，键程较短 回馈快，比较静音播放
2.外观方面十分好看，黑加仑配色，沉稳，灯光好看
3.键帽pbt材质，触感舒服，字迹清晰
4.mda高度，人体工学设计，打字不累
5.再加三模切换，超大容量电池
物超所值！非常满意了",预售V98Pro 蒸汽波轴Pro 黑加仑
9,外观颜值：黑加仑外观很奈斯，拿到手敲击很舒服！换了增补键帽，颜值更加上升！好用！非常不错！声音也很清脆，轴心稳定性也很好,预售V98Pro 蒸汽波轴Pro 黑加仑
10,预售后入，这次游戏动力的品控很棒，非常棒。大键完美，键盘整体入手还挺有重量的。轴体回弹很给力，键帽的品控也不错，指间文创的功力还是在线的。哈哈不亏是年度卷王，超级满意,预售V98Pro Box冰淇淋轴Pro努巴尼源限定
1,手感一般，颜值很高OK,预定V98Pro 蒸汽波轴Pro 海盐
2,等了半个月，很不错，冰激凌轴声音比较小，手感很棒，办公室用没问题，MDA键帽手感很棒，大键也很舒服，非常满意,预售V98Pro Box冰淇淋轴Pro 黑加仑
3,&hellip;&hellip;到手体验了一下，黑加仑还是挺好看的，冰淇淋轴的声音手感我也很喜欢，还没有用来打游戏，不过打起字来还是挺爽的，无线连起来也没啥问题，有线和蓝牙没试。总体来说还是很不错的，包装很好，颜值不错，质量也没有问题，满意。,预售V98Pro Box冰淇淋轴Pro 黑加仑
4,"很好用。
舒适度：键盘润滑很舒服，冰淇淋轴越用越好用
操作难度：键程短，反馈快，打字声音娇小而且很好听。人体工学设计，打字不累。
外观颜值：海盐配色，小清新，非常好看。 rgb 灯光很好看。
响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手。",预售V98Pro Box冰淇淋轴Pro 海盐
5,"VGN V98Pro，真实体验:
一、优点（第0条优点 性价比无敌）
①卫星轴（RX卫星轴同模具）手感T0
②消音填充拉满（送测的是poron轴下垫，大货是ixpe轴下垫，poron轴下垫更消音，ixpe更hifi）
③AKKO同模具键帽，MDA高度和手感很舒服
④左侧三模切换及右侧2.4G接收器收纳仓非常人性化
⑤Box冰淇淋Pro轴，类红轴里手感在量产里无敌，按压非常顺滑，轴心稳定，回弹给力（11.1会预售知夏轴，喜欢扭簧发声段落轴的福音）
⑥Gas结构+Pc定位板，敲击手感很柔和，偏硬的Gas手感一致性更好
⑦8000毫安时电池，续航给力
二、缺点
①外壳模具精度一般，F区缝隙不一致，向右下偏移
②个别键帽有毛刺
③背部三向式出线设计比较落伍
④灯光亮度一般（轴下垫和夹心棉为黑色、Box冰淇淋Pro为全pom轴体，不透光）
如果你打算买一款98配列机械键盘，或者你想购买一款机械键盘，这个键盘性价比拉满。",预售V98Pro Box冰淇淋轴Pro 海盐
6,非常好用 打字：特别好用，耐用度:非常好 舒适度：键盘润滑很舒服，很好用 操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累 外观颜值：海盐蓝紫配色，小清新，非常好看。rgb灯光很好看响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手。,预售V98Pro 蒸汽波轴Pro 黑加仑
7,"耐用度：5000万次寿命
舒适度：打字办公很舒服，反馈很快，声音不吵
外观颜值：海盐配色冷色调，小清新，十分好看。
操作难度：热插拔，三模特别方便切换。
响应速度：响应很快，回报速度也很快。",预售V98Pro Box冰淇淋轴Pro 海盐
8,键盘很不错，比较符合预期，轴体顺滑，颜值也很在线，链接的延迟基本感觉不到，还不错。包装也很好。,预售V98Pro Box冰淇淋轴Pro 海盐
9,"等了半个月，现在终于到手了
耐用度：8000毫安的电池 续航还没有测，但是应该很好
舒适度：冰淇淋轴体，声音很小，键程短，手感很舒适
外观颜值：海盐冰淇淋很小清新，非常好看，rgb可调模式非常多，而且可以自定义。 
1000hz的汇报率，无线和有线的差别不大",预售V98Pro Box冰淇淋轴Pro 海盐
10,"耐用度：很好
舒适度：手感很顺滑，舒服
操作难度：按键声音小，非常适合办公环境
外观颜值：帅，粉紫的配色越看越喜欢
性价比非常高的一款键盘，虽然预售等了很久，但也算物超所值！",预售V98Pro Box冰淇淋轴Pro 黑加仑
1,"耐用度：耐用
舒适度：很舒适
操作难度：一般，按照说明书走就行
外观颜值：很好看
响应速度：快，无感延迟
整体来说是非常不错的一款键盘，品控也不错，399的价格来说的话是非常完美的键盘，要是客服换成机器人的话将绝杀，可惜换不得。只能说就跟半藏随缘一箭一样，缘分到了自然就有客服回复你了（ps：我是1号晚上19:36:38下的单，给各位参考一下）",预售V98Pro Box冰淇淋轴Pro 海盐
2,键盘手感上体验非常好，舒适度方面，键盘润滑很舒服，很好用操作难度：键程短，反馈快，打字声音小。人体工学设计，打字不累外观颜值：蓝紫配色，小清新，非常好看。 rgb 灯光很好看响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手预售赠了个空格键帽，还有3个轴，一个拆卸器还有一根 type - c usb 的数据线,预售V98Pro 蒸汽波轴Pro 海盐
3,"舒适度：MDA的键帽用起来非常舒服，无论是玩游戏，还是打字都很不错，还有这个颜色我很喜欢
外观颜值：非常的不错，无论是套件还是键帽，都很好看
响应速度：很快，无线2.4g游戏没有任何问题
整体是一个非常值得买的键盘，无论是套件质量键帽质量还是轴，基本上说都很强，而且价格比较低，性价比非常高，首发购买还送很多东西，真的很不错，等待完全是值得的",预售V98Pro Box冰淇淋轴Pro 黑加仑
4,"键盎己收到，我喜欢这种敲击感强烈的，小伙伴们可以根据自己的喜欢选择合适的轴体，用着还不错，
手轻松，按键的反应力很快，质量方面也是过关的，面板材质有点高大上，符合我心里的预期，不错！推
荐购买！个人满足！感觉这种风格的看起来更加有电竞感．平时喜欢玩游戏
买这个的主要用途也是这样",预售V98Pro Box冰淇淋轴Pro 黑加仑
5,"键盘手感很好，声音也很hifi。
外观颜值：满分?，这个配色太喜欢了。
响应速度：响应速度很快，驱动可以调回报率好评。",预售V98Pro 蒸汽波轴Pro 海盐
6,质量相当好，用起来很舒服，大键调教的很好，灯光很好，真的绝对性价比首选,预定V98Pro 蒸汽波轴Pro 海盐
7,"舒适度：很不错，没有出现问题
操作难度：键程短，反应快，声音小，打字不累
外观颜值：外观很不错，颜值灯效没的说
响应速度：反应很快，用起来很顺手，强烈推荐",预售V98Pro Box冰淇淋轴Pro 海盐
8,"耐用度：很好，一键退烧
舒适度：键盘润滑很好

操作难度：键程短，反馈快，打字声音小很舒服人体工学设计，打字不累
外观颜值：蓝紫配色，小清新，很喜欢，rgb灯光很好看 
响应速度：反应很快，2.4g与有线反应速度 差不多，用起来很顺手 蓝牙感觉也没有延迟",预售V98Pro Box冰淇淋轴Pro 海盐
9,做工比预想的要好，之前用的一直是cherry轴，第一次用国产感觉要比原厂做的更好。大键调教不错，一点也不松垮，换套键帽颜值也能打了，整体很满意,预售V98Pro Box冰淇淋轴Pro 海盐
10,很好看，很喜欢，第一次用这么好的键盘（之前没买过这么贵的哈哈哈），不太懂，但觉得都很好，声音不大，听起很舒服，按压手感很好，超喜欢的，爱不释手了。嘿嘿,预定V98Pro 蒸汽波轴Pro 黑加仑
1,"不错，打宇声音很清脆。
打字：特别好用，耐用度;非常好舒适度：键盘润滑很舒服，很好用
操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累
 外观颜值：黑加仑配色，非常好看。rgb灯光很好看
响应速度：反应很快，2.4g与有线反应速度差不多，用起来很顺手。就是不知道怎么连蓝牙，电脑上看不到v98pro。",预售V98Pro Box冰淇淋轴Pro 黑加仑
2,"舒适度：第一次买这种键盘，手感ok，声音也不吵，可以的
外观颜值：特意选的黑绿配色，到手了实际一看越看越对眼
操作难度：直接上手就能用，完全ok
耐用度：很结实，应该能用很长时间了",预售V98Pro Box冰淇淋轴Pro努巴尼源限定
3,打字很舒服，声音不大，很有感觉，支持蓝牙、接收器等三模连接，做工尚可，也有比较漂亮的背光，电池容量足够大，续航持久，键盘布局也算比较合理，比较满意!,预售V98Pro Box冰淇淋轴Pro 海盐
4,"到手即用，大键卫星轴薄润
耐用度：很好非常好 
舒适度：冰淇淋轴体润滑
操作：键程适中，打字声音小。gas结构，打字不黑 外观颜值：紫色，耐看，小清新。rgb灯光很好看，2.4g与有线反应速度一样，用起来很跟手。",预售V98Pro Box冰淇淋轴Pro 海盐
5,"外观颜值：细腻的做工加上完美的键帽搭配，颜值绝对爆表，漂亮的过分了，男女通吃。
舒适度：蒸汽PRO的按压不是很大，手感不错，初入门选手的不二选择。
响应速度：全键无冲，三模连接，用起来感觉不到延迟。",预售V98Pro 蒸汽波轴Pro 海盐
6,"八号买的，等了20多天，虽然等待的过程是漫长的，但是到手后感觉是太香了。
舒适度：凯华box冰激凌轴手感舒适，声音也不大，手感顺滑，太爽了。
外观颜值：海盐好看
响应速度：很好
耐用度：很好。",预售V98Pro Box冰淇淋轴Pro 海盐
7,键盘好像不会偏右下了，然后整体很不错，很喜欢，轴的话，很软，还行，我自己大键换了高特水蜜桃，键盘还是很值得买的，设计合心意,预售V98Pro Box冰淇淋轴Pro 海盐
8,"到手即用，耐用度;很好 舒适度:键盘润滑油很多，很好用 操作难度:键程短，反馈快，打字声音小。人体工学设计，打字不累 外观颜值：
蓝紫配色，小清新，非常好看。rgb灯光很好看 响应速度;反应很快，2.4g与有线反应速度
差不多，用起来很顺手",预售V98Pro Box冰淇淋轴Pro 海盐
